direction	spBLEU	chrF++	len_ratio
eus_Latn-urd_Arab	20.69	38.99	0.965
hin_Deva-afr_Latn	30.56	53.42	0.961
amh_Ethi-est_Latn	23.31	44.50	0.989
lim_Latn-jpn_Jpan	16.82	22.67	0.929
tuk_Latn-yue_Hant	12.90	14.59	0.844
ita_Latn-fra_Latn	39.52	58.76	1.039
ajp_Arab-kon_Latn	18.11	44.48	0.990
heb_Hebr-awa_Deva	18.07	37.13	0.997
ars_Arab-cym_Latn	38.49	55.52	1.004
dan_Latn-als_Latn	34.35	53.97	0.957
guj_Gujr-fra_Latn	38.91	57.15	0.992
uzn_Latn-kmb_Latn	3.46	24.38	0.910
ita_Latn-slv_Latn	29.35	49.55	1.003
fin_Latn-umb_Latn	2.93	24.75	0.844
aka_Latn-ita_Latn	17.67	37.39	0.937
ssw_Latn-ars_Arab	12.80	24.71	0.854
plt_Latn-yor_Latn	9.32	24.02	1.078
sot_Latn-pag_Latn	15.55	41.82	1.162
guj_Gujr-slv_Latn	27.82	48.31	0.978
ilo_Latn-khk_Cyrl	21.50	38.27	0.989
fij_Latn-ben_Beng	17.11	30.19	0.969
kmb_Latn-zho_Hans	9.99	11.23	0.850
sat_Beng-khk_Cyrl	11.57	28.84	1.032
nso_Latn-srp_Cyrl	25.94	44.48	0.928
shn_Mymr-swh_Latn	18.64	42.41	0.999
luo_Latn-nso_Latn	13.26	36.13	0.942
nno_Latn-luo_Latn	12.53	35.92	0.940
tum_Latn-plt_Latn	11.49	35.59	1.040
ltz_Latn-dan_Latn	41.15	60.18	0.974
kor_Hang-lim_Latn	12.90	33.95	0.900
gla_Latn-cjk_Latn	3.23	23.02	0.968
bel_Cyrl-srp_Cyrl	21.25	42.23	1.021
bak_Cyrl-mai_Deva	12.84	32.02	0.992
san_Deva-acq_Arab	5.11	13.24	1.243
heb_Hebr-bos_Latn	31.83	51.97	0.965
rus_Cyrl-mri_Latn	16.69	40.30	0.960
epo_Latn-tpi_Latn	15.96	40.81	0.808
szl_Latn-kir_Cyrl	24.32	42.94	1.037
knc_Latn-kin_Latn	9.96	31.60	1.053
nso_Latn-pag_Latn	15.64	41.35	1.140
tel_Telu-luo_Latn	11.51	34.87	0.977
cym_Latn-swh_Latn	32.43	54.92	0.978
khk_Cyrl-hun_Latn	21.70	41.04	0.958
pes_Arab-hat_Latn	21.89	45.01	1.016
mag_Deva-hne_Deva	33.14	53.74	0.949
bak_Cyrl-tur_Latn	26.39	45.94	0.970
tzm_Tfng-swh_Latn	13.98	37.18	0.975
pes_Arab-lus_Latn	11.37	35.08	1.054
pan_Guru-kaz_Cyrl	26.84	45.94	1.003
